codigo,nome,professor,periodo,creditos
ECOMP-001,Linguagem e Redação I,,1,4
ECOMP-002,Segurança no Trabalho,,1,2
ECOMP-003,Administração e Organização Empresarial,,1,2
ECOMP-004,Química,Mauro Cresta de Barros Dolinsky,1,4
ECOMP-005,Ciência dos Materiais,Mauro Cresta de Barros Dolinsky,1,2
ECOMP-006,Álgebra Linear,Ana Carolina Carius,1,2
ECOMP-007,Humanismo Cristão e Fenômeno Religioso,Pedro Paulo de Carvalho Rosa,1,4
ECOMP-008,Introdução à Inteligência Artificial,,2,2
ECOMP-009,Introdução à Engenharia,Fabini Hoelz Bargas Alvarez,2,2
ECOMP-010,Introdução à Computação,Bruno Clemente Guingo,2,4
ECOMP-011,Introdução ao Cálculo,Rosenberg Coutinho Ramos,2,4
ECOMP-012,Geometria Analítica,Paulo Cesar Ferreira,2,2
ECOMP-013,Tópicos de Teologia,Adenilson Silva Ferreira,2,4
ECOMP-014,Introdução à Física,Flávio Carnelli Frade,2,2
ECOMP-015,Ergonomia e Desenho Universal,,3,2
ECOMP-016,Projetos e Ativ. de Extensão I,Fábio Lopes Licht,3,4
ECOMP-017,Ciências do Ambiente,,3,2
ECOMP-018,Cálculo I,Rosenberg Coutinho Ramos,3,4
ECOMP-019,Estatística,,3,4
ECOMP-020,Programação I,Fábio Lopes Licht,3,4
ECOMP-021,Introdução à Filosofia,Daniel Leite Cabrera Pereira da Rosa,3,2
ECOMP-022,Mecânica Clássica,Flávio Carnelli Frade,4,4
ECOMP-023,Projetos e Ativ. de Extensão II (IA),Fábio Lopes Licht,4,4
ECOMP-024,Cálculo II,,4,4
ECOMP-025,Ética,Júlio Cesar Figueiredo Offredi,4,2
ECOMP-026,Programação II,,4,4
ECOMP-027,Sinais e Sistemas,,4,4
ECOMP-028,Introdução à Teoria Econômica,,4,2
ECOMP-029,Eletricidade e Magnetismo,,4,4
ECOMP-030,Projetos e Ativ. de Extensão III,Fábio Lopes Licht,5,4
ECOMP-031,Ética Profissional em Engenharia,,5,2
ECOMP-032,Análise Vetorial,,5,4
ECOMP-033,Cálculo III,,5,4
ECOMP-034,Programação Estruturada,Mozar Baptista da Silva,5,2
ECOMP-035,"Fluidos, Ondas e Calor",,5,4
ECOMP-036,Circuitos Elétricos I,,5,4
ECOMP-037,Desenho de Instalações em Redes,,5,2
ECOMP-038,Técnicas Digitais,,6,4
ECOMP-039,Cálculo Numérico,,6,4
ECOMP-040,Fenômenos de Transporte,,6,2
ECOMP-041,Inteligência Artificial,,6,4
ECOMP-042,Estruturas de Dados,,6,4
ECOMP-043,Eletrônica I,,6,4
ECOMP-044,Projetos e Ativ. de Extensão IV,,6,4
ECOMP-045,Controle e Servomecanismos I,,7,4
ECOMP-046,Engenharia de Software,Luis Alexandre Estevão da Silva,7,4
ECOMP-047,Arquitetura de Computadores,Bruno Clemente Guingo,7,4
ECOMP-048,Banco de Dados I,Luis Alexandre Estevão da Silva,7,2
ECOMP-049,Lógica em Computação,Flávio Carnelli Frade,7,2
ECOMP-050,Projetos e Ativ. de Extensão V,Fábio Lopes Licht,7,4
ECOMP-051,Programação Orientada a Objetos,,7,4
ECOMP-052,Sistemas Operacionais,,8,4
ECOMP-053,Análise Orientada a Objetos,,8,4
ECOMP-054,Redes de Computadores,,8,2
ECOMP-055,Mecânica dos Sólidos,,8,4
ECOMP-056,Banco de Dados II,,8,2
ECOMP-057,Programação em Python,Fábio Lopes Licht,8,2
ECOMP-058,Projetos e Ativ. de Extensão VI,,8,4
ECOMP-059,Computação Gráfica,Mozar Baptista da Silva,9,4
ECOMP-060,Análise de Algoritmos,Bruno Clemente Guingo,9,4
ECOMP-061,Sistemas Distribuídos,Bruno Richard Schulze,9,4
ECOMP-062,Programação em Plataforma Arduino,Mozar Baptista da Silva,9,4
ECOMP-063,Programação Web,Fábio Lopes Licht,9,2
ECOMP-064,Metodologia Científica no TCC,,9,2
ECOMP-065,Teoria da Computação,Bruno Clemente Guingo,9,2
ECOMP-066,Análise de Dados,,10,2
ECOMP-067,Sistemas Embarcados,,10,4
ECOMP-068,Propriedade Intelectual,,10,2
